"run","model","control","duration","cattle_culled","sheep_culled","cattlesheep_culled","cattle_vacc"
84,"D","ipdc",35,3413,2989,0,0
85,"D","ipdc",33,1593,9547,0,0
86,"D","ipdc",35,5277,8835,0,0
87,"D","ipdc",52,8517,27340,0,0
88,"D","ipdc",18,863,671,0,0
89,"D","ipdc",42,5851,17263,0,0
90,"D","ipdc",42,8425,27020,0,0
91,"D","ipdc",53,4473,17396,0,0
92,"D","ipdc",36,3191,11274,0,0
93,"D","ipdc",41,8190,11771,0,0
94,"D","ipdc",27,1536,5821,0,0
95,"D","ipdc",36,3762,7751,0,0
96,"D","ipdc",41,3645,13514,0,0
97,"D","ipdc",39,3377,1725,0,0
98,"D","ipdc",37,4133,12004,0,0
99,"D","ipdc",36,4355,17375,0,0
100,"D","ipdc",36,4121,11810,0,0
1,"D","rc",75,2908,15643,0,0
2,"D","rc",48,2680,7225,0,0
3,"D","rc",66,6214,19981,0,0
4,"D","rc",111,6544,31478,0,0
5,"D","rc",21,774,7479,0,0
6,"D","rc",104,5732,35232,0,0
7,"D","rc",25,274,3958,0,0
8,"D","rc",36,1686,7497,0,0
9,"D","rc",75,6178,40155,0,0
10,"D","rc",82,6637,23617,0,0
11,"D","rc",88,11905,43131,0,0
12,"D","rc",39,2449,6191,0,0
13,"D","rc",51,1551,5832,0,0
14,"D","rc",63,5047,12693,0,0
15,"D","rc",57,3510,8954,0,0
16,"D","rc",26,1169,3323,0,0
17,"D","rc",82,3526,13726,0,0
18,"D","rc",22,1943,7115,0,0
19,"D","rc",126,9714,22586,0,0
20,"D","rc",28,776,1398,0,0
21,"D","rc",46,2273,5167,0,0
22,"D","rc",107,10298,23961,0,0
23,"D","rc",33,1391,7399,0,0
24,"D","rc",92,14089,23626,0,0
25,"D","rc",58,6053,6103,0,0
26,"D","rc",59,5022,14575,0,0
27,"D","rc",67,8662,14816,0,0
28,"D","rc",30,940,3470,0,0
29,"D","rc",108,9679,46159,0,0
30,"D","rc",61,6225,14695,0,0
31,"D","rc",33,1198,9535,0,0
32,"D","rc",101,15632,65971,0,0
33,"D","rc",34,1304,5506,0,0
34,"D","rc",104,7685,23064,0,0
35,"D","rc",124,20067,58611,0,0
36,"D","rc",73,3853,14432,0,0
37,"D","rc",119,7779,17567,0,0
38,"D","rc",53,2009,7161,0,0
39,"D","rc",72,3998,25505,0,0
40,"D","rc",89,4357,9381,0,0
41,"D","rc",125,7535,14539,0,0
42,"D","rc",87,7956,31707,0,0
43,"D","rc",58,5259,16607,0,0
44,"D","rc",78,10707,27136,0,0
45,"D","rc",104,7780,14110,0,0
46,"D","rc",49,2235,11490,0,0
47,"D","rc",73,6635,27204,0,0
48,"D","rc",68,6038,23094,0,0
49,"D","rc",72,4668,6276,0,0
50,"D","rc",51,4497,14599,0,0
51,"D","rc",151,15782,80023,0,0
52,"D","rc",29,2658,6365,0,0
53,"D","rc",63,4831,26076,0,0
54,"D","rc",102,7470,19229,0,0
55,"D","rc",30,385,3243,0,0
56,"D","rc",57,5532,14229,0,0
57,"D","rc",39,3697,6683,0,0
58,"D","rc",77,4243,26319,0,0
59,"D","rc",102,5818,23634,0,0
60,"D","rc",38,2265,9689,0,0
61,"D","rc",55,2290,6955,0,0
62,"D","rc",23,470,3082,0,0
63,"D","rc",63,3719,19504,0,0
64,"D","rc",80,2736,3267,0,0
65,"D","rc",60,3069,9331,0,0
66,"D","rc",198,11717,45562,0,0
67,"D","rc",43,1522,7130,0,0
68,"D","rc",58,4108,15186,0,0
69,"D","rc",127,9310,21425,0,0
70,"D","rc",36,2053,3203,0,0
71,"D","rc",22,1122,1777,0,0
72,"D","rc",133,9393,19116,0,0
73,"D","rc",56,2406,8076,0,0
74,"D","rc",49,6351,6773,0,0
75,"D","rc",48,1610,10812,0,0
76,"D","rc",74,4788,19724,0,0
77,"D","rc",67,6129,30477,0,0
78,"D","rc",99,12305,57001,0,0
79,"D","rc",106,8530,35903,0,0
80,"D","rc",68,4452,27771,0,0
81,"D","rc",38,3339,3146,0,0
82,"D","rc",28,1029,3746,0,0
83,"D","rc",113,14452,79272,0,0
84,"D","rc",27,597,1476,0,0
85,"D","rc",35,1101,8047,0,0
86,"D","rc",148,9053,38001,0,0
87,"D","rc",74,2714,6446,0,0
88,"D","rc",23,879,1786,0,0
89,"D","rc",106,5831,21138,0,0
90,"D","rc",50,3390,17987,0,0
91,"D","rc",49,2328,2255,0,0
92,"D","rc",73,2889,7599,0,0
93,"D","rc",41,1385,6972,0,0
94,"D","rc",93,3310,15042,0,0
95,"D","rc",50,2443,3788,0,0
96,"D","rc",35,3161,12880,0,0
97,"D","rc",46,1631,7941,0,0
98,"D","rc",78,4517,7924,0,0
99,"D","rc",54,6664,14272,0,0
100,"D","rc",105,7336,28484,0,0
1,"D","v03",37,1763,5519,0,16866
2,"D","v03",44,1387,17519,0,18977
3,"D","v03",66,4173,18986,0,47341
4,"D","v03",47,1725,6987,0,17250
5,"D","v03",41,3980,14044,0,30366
6,"D","v03",44,5078,8812,0,39229
7,"D","v03",28,1397,2287,0,19444
8,"D","v03",25,606,4046,0,13275
9,"D","v03",22,1185,3875,0,16455
10,"D","v03",69,7239,11509,0,45711
11,"D","v03",62,4129,24291,0,37652
