"run","model","control","duration","cattle_culled","sheep_culled","cattlesheep_culled","cattle_vacc"
30,"C","rc",12,1277,1564,6829,0
31,"C","rc",22,3201,3284,23023,0
32,"C","rc",10,1163,975,6768,0
33,"C","rc",17,2012,1753,13289,0
34,"C","rc",11,1232,1090,8012,0
35,"C","rc",19,2042,2277,14192,0
36,"C","rc",30,2048,2342,9643,0
37,"C","rc",15,1388,1620,10042,0
38,"C","rc",27,2607,2760,11778,0
39,"C","rc",23,1980,1496,9578,0
40,"C","rc",13,1362,1679,9132,0
41,"C","rc",12,1895,1381,7550,0
42,"C","rc",13,2075,1698,9578,0
43,"C","rc",20,1999,2386,14400,0
44,"C","rc",29,2071,2652,11740,0
45,"C","rc",10,1163,975,6768,0
46,"C","rc",25,2631,2834,14067,0
47,"C","rc",12,1293,1564,7888,0
48,"C","rc",13,1935,1698,11833,0
49,"C","rc",13,1317,1745,11112,0
50,"C","rc",13,1980,1679,9578,0
51,"C","rc",17,3012,3387,16321,0
52,"C","rc",10,1163,975,6768,0
53,"C","rc",22,4918,2993,20970,0
54,"C","rc",37,3354,2580,12124,0
55,"C","rc",22,2017,2087,19232,0
56,"C","rc",33,2060,2676,14690,0
57,"C","rc",12,1911,1564,7782,0
58,"C","rc",18,2236,3510,13639,0
59,"C","rc",11,1232,1090,8012,0
60,"C","rc",12,1362,1679,8857,0
61,"C","rc",16,1895,1381,7550,0
62,"C","rc",26,2460,2780,27932,0
63,"C","rc",12,1362,1679,8857,0
64,"C","rc",13,1317,1745,11112,0
65,"C","rc",26,1895,1381,7550,0
66,"C","rc",12,1277,1564,6829,0
67,"C","rc",12,1980,1496,9578,0
68,"C","rc",12,1895,1381,7550,0
69,"C","rc",13,1362,1679,9132,0
70,"C","rc",29,2289,1872,13225,0
71,"C","rc",24,1539,2295,18874,0
72,"C","rc",13,2004,1753,12142,0
73,"C","rc",13,1362,1679,9132,0
74,"C","rc",20,2465,2775,10268,0
75,"C","rc",12,1362,1679,8857,0
76,"C","rc",13,1386,1753,11421,0
77,"C","rc",21,1980,1496,9578,0
78,"C","rc",13,1362,1679,9132,0
79,"C","rc",12,1362,1679,8857,0
80,"C","rc",20,1980,1543,9578,0
81,"C","rc",13,3247,2130,10491,0
82,"C","rc",13,1386,1753,11421,0
83,"C","rc",35,2201,2078,8869,0
84,"C","rc",13,1317,1745,11112,0
85,"C","rc",12,1911,1564,8609,0
86,"C","rc",13,1480,2526,15954,0
87,"C","rc",13,1317,1745,11112,0
