"run","model","control","duration","cattle_culled","sheep_culled","cattlesheep_culled","cattle_vacc"
27,"A","rc",16,21494,74162,0,0
28,"A","rc",36,20804,71107,0,0
29,"A","rc",22,18973,64551,0,0
30,"A","rc",14,14991,73061,0,0
31,"A","rc",23,16659,55731,0,0
32,"A","rc",23,28742,84600,0,0
33,"A","rc",22,27098,77327,0,0
34,"A","rc",15,15274,50848,0,0
35,"A","rc",13,12816,49449,0,0
36,"A","rc",25,29921,112263,0,0
37,"A","rc",16,25942,89078,0,0
38,"A","rc",17,24490,70356,0,0
39,"A","rc",26,30512,83134,0,0
40,"A","rc",25,33871,100765,0,0
41,"A","rc",11,11408,52345,0,0
42,"A","rc",24,34619,113669,0,0
43,"A","rc",20,28875,85526,0,0
44,"A","rc",11,16539,55084,0,0
45,"A","rc",24,23629,76699,0,0
46,"A","rc",20,21942,71357,0,0
47,"A","rc",21,21768,118760,0,0
48,"A","rc",26,16018,62957,0,0
49,"A","rc",25,34667,117651,0,0
50,"A","rc",38,24424,78833,0,0
51,"A","rc",19,22040,60331,0,0
52,"A","rc",23,26806,68726,0,0
53,"A","rc",13,19114,59509,0,0
54,"A","rc",21,23882,63000,0,0
55,"A","rc",22,32457,80141,0,0
56,"A","rc",21,19771,70549,0,0
57,"A","rc",16,19689,59706,0,0
58,"A","rc",23,12376,51858,0,0
59,"A","rc",25,15555,63094,0,0
60,"A","rc",23,22391,57737,0,0
61,"A","rc",24,16547,66355,0,0
62,"A","rc",18,19855,74729,0,0
63,"A","rc",11,22451,77448,0,0
64,"A","rc",36,39288,103470,0,0
65,"A","rc",26,18959,88200,0,0
66,"A","rc",21,21716,62731,0,0
67,"A","rc",20,10334,48960,0,0
68,"A","rc",61,31305,96026,0,0
69,"A","rc",25,16855,56441,0,0
70,"A","rc",23,29363,77539,0,0
71,"A","rc",21,25992,88768,0,0
72,"A","rc",26,17580,63611,0,0
73,"A","rc",19,15556,60806,0,0
74,"A","rc",28,17962,56857,0,0
75,"A","rc",30,26799,75981,0,0
76,"A","rc",24,23717,94362,0,0
77,"A","rc",24,27272,73318,0,0
78,"A","rc",33,51576,145849,0,0
79,"A","rc",21,24718,85064,0,0
80,"A","rc",20,30370,99160,0,0
81,"A","rc",22,24150,100912,0,0
82,"A","rc",27,35160,164935,0,0
83,"A","rc",11,15244,52514,0,0
84,"A","rc",22,18214,56599,0,0
85,"A","rc",20,26481,84005,0,0
86,"A","rc",19,28351,59094,0,0
87,"A","rc",13,16918,63934,0,0
88,"A","rc",32,12495,51612,0,0
89,"A","rc",26,37832,124535,0,0
90,"A","rc",20,26318,94855,0,0
91,"A","rc",20,21196,82340,0,0
92,"A","rc",29,21400,71724,0,0
93,"A","rc",26,29916,105163,0,0
94,"A","rc",24,20671,84401,0,0
95,"A","rc",26,21668,95802,0,0
96,"A","rc",15,26697,81461,0,0
97,"A","rc",20,24543,69098,0,0
98,"A","rc",41,23070,84431,0,0
99,"A","rc",22,27469,96395,0,0
1,"A","v03",19,1522,7250,0,18377
2,"A","v03",38,1627,8420,0,18130
3,"A","v03",20,1886,8154,0,24879
4,"A","v03",25,2118,7173,0,23849
5,"A","v03",20,1668,8263,0,21435
6,"A","v03",26,1870,10994,0,47453
7,"A","v03",32,2661,8446,0,42691
8,"A","v03",23,1945,7468,0,16094
9,"A","v03",32,2621,6473,0,47494
10,"A","v03",18,1616,6869,0,19520
11,"A","v03",11,1521,6789,0,14343
12,"A","v03",29,2363,9987,0,36208
13,"A","v03",16,1997,7655,0,17749
14,"A","v03",32,1724,8212,0,18184
15,"A","v03",24,1717,6777,0,25201
16,"A","v03",42,2172,8746,0,18846
17,"A","v03",43,1570,6711,0,12265
18,"A","v03",11,1665,7748,0,11696
19,"A","v03",23,1775,7376,0,21574
20,"A","v03",22,1902,7551,0,29742
21,"A","v03",41,1783,4901,0,16977
22,"A","v03",28,2084,7317,0,25309
23,"A","v03",49,3140,10413,0,45897
24,"A","v03",20,1708,7982,0,32970
25,"A","v03",29,1722,8258,0,22397
26,"A","v03",38,1985,7688,0,27896
27,"A","v03",20,1960,7014,0,25641
28,"A","v03",24,1632,6900,0,25764
29,"A","v03",19,1997,7770,0,18862
30,"A","v03",26,1689,7656,0,14758
31,"A","v03",30,2470,6917,0,31369
32,"A","v03",33,1913,6124,0,31435
33,"A","v03",18,1823,7850,0,25157
34,"A","v03",24,2129,7354,0,20002
35,"A","v03",13,1654,7121,0,13057
36,"A","v03",22,2085,8198,0,31459
37,"A","v03",21,1774,7464,0,32635
38,"A","v03",26,1698,6827,0,26600
39,"A","v03",37,2588,7757,0,35271
40,"A","v03",29,2857,11909,0,32154
41,"A","v03",20,1687,7104,0,14592
42,"A","v03",26,2221,10998,0,42481
43,"A","v03",40,2503,8813,0,33129
44,"A","v03",22,1558,7405,0,19678
45,"A","v03",22,2438,8511,0,24404
46,"A","v03",26,1909,7350,0,23143
47,"A","v03",34,2184,9262,0,22345
48,"A","v03",16,1670,6671,0,15528
49,"A","v03",28,2434,9796,0,47403
50,"A","v03",33,2006,8307,0,27764
51,"A","v03",23,2505,7229,0,26213
52,"A","v03",18,2137,8786,0,26179
53,"A","v03",47,2350,7036,0,20611
54,"A","v03",28,1857,7174,0,31523
55,"A","v03",41,2670,11410,0,38839
56,"A","v03",18,1890,6748,0,17409
57,"A","v03",70,2329,7819,0,32606
58,"A","v03",36,1605,7278,0,11933
59,"A","v03",16,1499,6806,0,15867
60,"A","v03",41,2071,9310,0,30447
61,"A","v03",21,1776,7633,0,18539
62,"A","v03",44,1734,6793,0,26443
63,"A","v03",19,1615,7689,0,25196
64,"A","v03",40,2133,8223,0,34037
65,"A","v03",40,2046,7060,0,16675
66,"A","v03",29,1819,7148,0,30390
67,"A","v03",45,1832,9120,0,12145
68,"A","v03",28,1968,9127,0,28339
69,"A","v03",30,1788,8255,0,19610
70,"A","v03",20,2047,7555,0,22614
71,"A","v03",35,1807,7997,0,23926
72,"A","v03",22,1807,6457,0,21029
73,"A","v03",13,2045,7578,0,15640
74,"A","v03",27,1120,6672,0,12363
75,"A","v03",15,1777,7383,0,27333
76,"A","v03",23,1894,9446,0,18468
77,"A","v03",26,2013,6954,0,25678
78,"A","v03",47,2496,10599,0,56063
79,"A","v03",27,1744,7379,0,21967
80,"A","v03",27,2507,8428,0,31175
81,"A","v03",34,1843,8485,0,35443
82,"A","v03",25,2398,12450,0,31993
83,"A","v03",25,2068,7822,0,21210
84,"A","v03",23,2393,9354,0,21964
85,"A","v03",25,2154,9282,0,29848
86,"A","v03",44,1743,7081,0,23847
87,"A","v03",24,1571,6790,0,19755
88,"A","v03",19,1656,7009,0,17984
89,"A","v03",32,2227,8522,0,48912
90,"A","v03",11,1848,9487,0,26535
91,"A","v03",34,1958,7910,0,34989
92,"A","v03",14,1640,3992,0,18772
93,"A","v03",41,2540,10630,0,27441
94,"A","v03",23,1639,7260,0,21021
95,"A","v03",27,1850,11379,0,24385
96,"A","v03",14,2198,6875,0,26074
97,"A","v03",38,2474,8518,0,37452
98,"A","v03",57,2297,11539,0,33749
99,"A","v03",15,2462,10349,0,29983
1,"A","v10",19,1522,7250,0,97585
2,"A","v10",27,1465,7030,0,91229
3,"A","v10",20,1886,8154,0,129404
4,"A","v10",25,2118,7173,0,105914
5,"A","v10",20,1668,8263,0,128661
6,"A","v10",26,1870,10994,0,138287
7,"A","v10",32,2661,8446,0,147946
8,"A","v10",23,1945,7468,0,125353
9,"A","v10",32,2621,6473,0,169422
10,"A","v10",29,1582,7174,0,113428
11,"A","v10",11,1521,6789,0,99926
12,"A","v10",24,2290,9838,0,123550
13,"A","v10",16,1997,7655,0,97634
14,"A","v10",32,1724,8212,0,96562
15,"A","v10",24,1717,6777,0,115110
16,"A","v10",31,1356,7141,0,90192
17,"A","v10",43,1570,6711,0,79874
18,"A","v10",11,1665,7748,0,86447
19,"A","v10",23,1775,7376,0,109768
20,"A","v10",22,1902,7551,0,142146
21,"A","v10",41,1783,4901,0,115222
22,"A","v10",28,2084,7317,0,124626
23,"A","v10",27,2769,9757,0,140989
24,"A","v10",29,1645,7990,0,138384
25,"A","v10",30,1720,8752,0,115619
26,"A","v10",38,1985,7688,0,134863
27,"A","v10",20,1960,7014,0,107626
28,"A","v10",24,1632,6900,0,140382
29,"A","v10",19,1997,7770,0,96783
30,"A","v10",17,1664,7656,0,111467
31,"A","v10",27,2161,6932,0,126353
32,"A","v10",33,1913,6124,0,125584
33,"A","v10",18,1823,7850,0,133143
34,"A","v10",24,2129,7354,0,104320
35,"A","v10",13,1654,7121,0,89645
36,"A","v10",22,2085,8198,0,141856
37,"A","v10",21,1774,7464,0,142320
38,"A","v10",26,1698,6827,0,122749
39,"A","v10",31,2984,8798,0,124984
40,"A","v10",29,2857,11909,0,124285
41,"A","v10",17,1684,7104,0,108209
42,"A","v10",26,2221,10998,0,157383
43,"A","v10",30,2039,7547,0,115809
44,"A","v10",22,1558,7405,0,100493
45,"A","v10",22,2438,8511,0,126567
46,"A","v10",26,1909,7350,0,108187
47,"A","v10",25,2153,9262,0,140075
48,"A","v10",16,1670,6671,0,102379
49,"A","v10",35,2408,9595,0,180151
50,"A","v10",45,1930,8647,0,141082
51,"A","v10",23,2505,7229,0,121521
52,"A","v10",18,2137,8786,0,113729
53,"A","v10",47,2350,7036,0,113540
54,"A","v10",28,1857,7174,0,131659
55,"A","v10",41,2670,11410,0,117673
56,"A","v10",18,1890,6748,0,112053
57,"A","v10",44,2077,7605,0,119725
58,"A","v10",36,1605,7278,0,102809
59,"A","v10",16,1499,6806,0,109628
60,"A","v10",41,2071,9310,0,123123
61,"A","v10",21,1776,7633,0,101620
62,"A","v10",44,1734,6793,0,114019
63,"A","v10",19,1615,7689,0,135673
64,"A","v10",40,2133,8223,0,132915
65,"A","v10",40,2046,7060,0,112388
66,"A","v10",29,1819,7148,0,123050
67,"A","v10",45,1832,9120,0,87975
68,"A","v10",28,1968,9127,0,120367
69,"A","v10",30,1788,8255,0,118776
70,"A","v10",20,2047,7555,0,122752
71,"A","v10",35,1807,7997,0,117972
72,"A","v10",22,1807,6457,0,115561
73,"A","v10",13,2045,7578,0,94151
74,"A","v10",27,1120,6672,0,85176
75,"A","v10",15,1777,7383,0,126894
76,"A","v10",23,1894,9446,0,102570
77,"A","v10",26,2013,6954,0,98190
78,"A","v10",40,2408,11082,0,186531
79,"A","v10",27,1744,7379,0,129139
80,"A","v10",27,2507,8428,0,139694
81,"A","v10",23,1795,8483,0,124648
82,"A","v10",25,2398,12450,0,160740
83,"A","v10",25,2068,7822,0,119426
84,"A","v10",23,2393,9354,0,127444
85,"A","v10",25,2154,9282,0,138649
86,"A","v10",44,1743,7081,0,124598
87,"A","v10",24,1571,6790,0,114742
88,"A","v10",19,1656,7009,0,95330
89,"A","v10",25,2096,9280,0,148363
90,"A","v10",18,2015,9487,0,133114
91,"A","v10",34,1958,7910,0,173097
92,"A","v10",14,1640,3992,0,102204
93,"A","v10",41,2437,10641,0,155157
94,"A","v10",23,1639,7260,0,119898
95,"A","v10",25,1817,11449,0,130677
96,"A","v10",14,2198,6875,0,116952
97,"A","v10",38,2474,8518,0,144485
98,"A","v10",31,2192,11460,0,142038
99,"A","v10",15,2462,10349,0,161742
