"run","model","control","duration","cattle_culled","sheep_culled","cattlesheep_culled","cattle_vacc"
81,"E","ipdc",39,3393,11593,0,0
82,"E","ipdc",26,2324,13463,0,0
83,"E","ipdc",38,3459,17363,0,0
84,"E","ipdc",147,5558,36920,0,0
85,"E","ipdc",341,50702,198063,0,0
86,"E","ipdc",95,7698,25615,0,0
87,"E","ipdc",58,5347,21183,0,0
88,"E","ipdc",54,4607,14764,0,0
89,"E","ipdc",41,2821,15612,0,0
90,"E","ipdc",52,2802,12643,0,0
91,"E","ipdc",40,2966,14888,0,0
92,"E","ipdc",35,2359,11571,0,0
93,"E","ipdc",187,17471,47917,0,0
94,"E","ipdc",55,2817,12832,0,0
95,"E","ipdc",37,2428,12588,0,0
96,"E","ipdc",74,14778,54328,0,0
97,"E","ipdc",104,7157,23278,0,0
98,"E","ipdc",54,3752,12917,0,0
99,"E","ipdc",78,4428,17848,0,0
100,"E","ipdc",69,6579,26644,0,0
1,"E","rc",30,12537,33343,0,0
2,"E","rc",83,49470,209520,0,0
3,"E","rc",44,17297,49900,0,0
4,"E","rc",23,5731,20844,0,0
5,"E","rc",24,6401,22365,0,0
6,"E","rc",43,6675,28309,0,0
7,"E","rc",23,5677,20788,0,0
8,"E","rc",32,11587,40034,0,0
9,"E","rc",45,14827,52784,0,0
10,"E","rc",23,5610,20672,0,0
11,"E","rc",32,7196,23479,0,0
12,"E","rc",30,7308,30977,0,0
13,"E","rc",28,9985,36815,0,0
14,"E","rc",24,7963,27092,0,0
15,"E","rc",74,27018,103211,0,0
16,"E","rc",24,6949,26495,0,0
17,"E","rc",45,8656,46523,0,0
18,"E","rc",26,9582,32782,0,0
19,"E","rc",23,5697,23354,0,0
20,"E","rc",31,6093,26031,0,0
21,"E","rc",25,8418,31631,0,0
22,"E","rc",23,5705,22591,0,0
23,"E","rc",50,19213,75852,0,0
24,"E","rc",25,7722,33259,0,0
25,"E","rc",58,15499,68977,0,0
26,"E","rc",27,8895,26774,0,0
27,"E","rc",62,13731,44371,0,0
28,"E","rc",23,5633,20833,0,0
29,"E","rc",32,7293,23967,0,0
30,"E","rc",29,8325,27905,0,0
31,"E","rc",26,11148,38134,0,0
32,"E","rc",96,35536,133495,0,0
33,"E","rc",23,5758,20839,0,0
34,"E","rc",137,36149,137256,0,0
35,"E","rc",54,16893,46934,0,0
36,"E","rc",26,9332,30020,0,0
37,"E","rc",23,5659,22491,0,0
38,"E","rc",42,24467,114354,0,0
39,"E","rc",24,6534,23832,0,0
40,"E","rc",39,16664,40890,0,0
41,"E","rc",49,11089,40043,0,0
42,"E","rc",60,17091,75018,0,0
43,"E","rc",23,5564,20516,0,0
44,"E","rc",136,61882,265715,0,0
45,"E","rc",29,10134,39689,0,0
46,"E","rc",24,6897,25699,0,0
47,"E","rc",29,10199,42067,0,0
48,"E","rc",24,6510,25836,0,0
49,"E","rc",60,20835,56915,0,0
50,"E","rc",39,7753,34047,0,0
51,"E","rc",123,33986,111899,0,0
52,"E","rc",66,32153,96660,0,0
53,"E","rc",74,24191,102288,0,0
54,"E","rc",96,25455,142190,0,0
55,"E","rc",39,12482,60427,0,0
56,"E","rc",51,12969,36838,0,0
57,"E","rc",23,5720,22539,0,0
58,"E","rc",23,5841,25180,0,0
59,"E","rc",39,7735,37305,0,0
60,"E","rc",46,10101,37066,0,0
61,"E","rc",25,8288,30701,0,0
62,"E","rc",50,17638,38068,0,0
63,"E","rc",41,10642,38732,0,0
64,"E","rc",25,8899,32512,0,0
65,"E","rc",37,9239,22844,0,0
66,"E","rc",23,5766,22768,0,0
67,"E","rc",31,9457,35881,0,0
68,"E","rc",26,9248,24776,0,0
69,"E","rc",25,9577,37046,0,0
70,"E","rc",33,8836,33283,0,0
71,"E","rc",23,5757,22854,0,0
72,"E","rc",23,5609,21045,0,0
73,"E","rc",54,14629,41817,0,0
74,"E","rc",41,7762,39748,0,0
75,"E","rc",49,16146,61496,0,0
76,"E","rc",34,16026,57538,0,0
77,"E","rc",23,5567,20519,0,0
78,"E","rc",26,10288,41521,0,0
79,"E","rc",32,7694,27065,0,0
80,"E","rc",31,7264,33389,0,0
81,"E","rc",84,33730,109626,0,0
82,"E","rc",28,6067,26516,0,0
83,"E","rc",34,9541,39385,0,0
84,"E","rc",23,5816,23997,0,0
85,"E","rc",148,44927,192142,0,0
86,"E","rc",24,6663,27207,0,0
87,"E","rc",54,19279,64953,0,0
88,"E","rc",93,11427,72574,0,0
89,"E","rc",52,13080,45033,0,0
90,"E","rc",23,5632,20917,0,0
91,"E","rc",37,13899,61364,0,0
92,"E","rc",30,6423,32744,0,0
93,"E","rc",24,6783,25828,0,0
94,"E","rc",34,13015,39949,0,0
95,"E","rc",23,5779,21294,0,0
96,"E","rc",39,13724,64038,0,0
97,"E","rc",31,9261,29244,0,0
98,"E","rc",23,5727,22498,0,0
99,"E","rc",24,7078,26950,0,0
100,"E","rc",29,8207,23911,0,0
1,"E","v03",59,3050,13648,0,19262
2,"E","v03",91,11467,32282,0,64773
3,"E","v03",44,3977,11657,0,27843
4,"E","v03",62,3458,15996,0,16583
5,"E","v03",85,5755,26452,0,30960
6,"E","v03",98,6767,28423,0,35739
7,"E","v03",26,1767,6712,0,6645
8,"E","v03",64,2135,9565,0,10375
9,"E","v03",38,3507,11624,0,16375
10,"E","v03",99,3219,13083,0,17015
11,"E","v03",85,3741,13636,0,27477
12,"E","v03",47,2541,15451,0,15101
13,"E","v03",122,11908,44685,0,78249
14,"E","v03",58,2901,11091,0,13446
15,"E","v03",46,3389,11996,0,23881
16,"E","v03",50,3591,18216,0,10749
17,"E","v03",59,4026,9076,0,27704
18,"E","v03",141,6368,27083,0,35962
19,"E","v03",60,2457,9448,0,13147
20,"E","v03",73,3605,10097,0,19242
21,"E","v03",80,4228,21277,0,28334
22,"E","v03",60,2972,14612,0,22143
23,"E","v03",89,5943,18181,0,36087
24,"E","v03",30,2050,9338,0,8968
25,"E","v03",48,3502,12291,0,28619
26,"E","v03",51,2046,11940,0,3833
27,"E","v03",71,2850,11198,0,18645
28,"E","v03",99,6204,14155,0,36329
29,"E","v03",71,3704,10656,0,25867
30,"E","v03",59,3901,13743,0,16214
31,"E","v03",44,2211,10688,0,5236
32,"E","v03",89,8463,18981,0,50367
33,"E","v03",261,10318,46819,0,50826
34,"E","v03",104,4189,13232,0,27143
35,"E","v03",64,1891,8326,0,9268
36,"E","v03",54,3027,10649,0,17953
37,"E","v03",101,8448,31969,0,54773
38,"E","v03",63,4063,10898,0,29237
39,"E","v03",55,2215,9709,0,13340
40,"E","v03",110,7082,23440,0,62860
41,"E","v03",80,2882,15597,0,19490
42,"E","v03",59,4657,14605,0,28609
43,"E","v03",66,2676,17792,0,10252
44,"E","v03",37,3442,9475,0,26816
45,"E","v03",44,3337,10647,0,15879
46,"E","v03",75,3784,12899,0,12532
47,"E","v03",48,2669,12386,0,13465
48,"E","v03",85,4305,19134,0,27773
49,"E","v03",60,3838,13396,0,30926
50,"E","v03",31,1904,9595,0,7561
51,"E","v03",90,4664,22760,0,35043
52,"E","v03",92,3587,11354,0,26206
53,"E","v03",66,3999,10621,0,21449
54,"E","v03",74,3744,11892,0,18003
55,"E","v03",55,5085,24465,0,16382
56,"E","v03",38,2237,9269,0,7926
57,"E","v03",81,4027,9963,0,23770
58,"E","v03",42,2489,9962,0,15732
59,"E","v03",43,1981,8736,0,5474
60,"E","v03",99,4597,16003,0,29897
61,"E","v03",41,2007,10580,0,6353
62,"E","v03",50,2134,9617,0,7620
63,"E","v03",26,2070,9495,0,7198
64,"E","v03",50,2877,11250,0,17063
65,"E","v03",67,2203,14923,0,8873
66,"E","v03",94,4670,16991,0,17675
67,"E","v03",101,4476,27817,0,26884
68,"E","v03",111,4409,24090,0,24681
69,"E","v03",49,5310,24269,0,27770
70,"E","v03",28,2051,8514,0,5984
71,"E","v03",51,2006,8619,0,4905
72,"E","v03",88,5829,31169,0,51862
73,"E","v03",55,3355,13854,0,21290
74,"E","v03",73,3044,9985,0,18265
75,"E","v03",58,3548,10653,0,18714
76,"E","v03",79,2490,11548,0,13790
77,"E","v03",67,4351,11651,0,22682
78,"E","v03",74,4471,13557,0,28879
79,"E","v03",73,4419,13323,0,26084
80,"E","v03",75,4120,13776,0,27849
81,"E","v03",67,5614,23115,0,30846
82,"E","v03",168,11122,48568,0,59116
83,"E","v03",32,2848,8878,0,10480
84,"E","v03",33,1943,8105,0,5556
85,"E","v03",38,2858,10138,0,14120
86,"E","v03",102,5213,28291,0,36816
87,"E","v03",52,3771,12149,0,25410
88,"E","v03",50,2381,10640,0,10312
89,"E","v03",115,5546,25048,0,48934
90,"E","v03",50,1463,6654,0,4737
91,"E","v03",74,5031,18321,0,29425
92,"E","v03",51,2697,12198,0,11714
93,"E","v03",45,2683,12486,0,10025
94,"E","v03",44,3209,12615,0,13646
95,"E","v03",30,1740,8419,0,4769
96,"E","v03",126,9186,36813,0,53925
97,"E","v03",43,1731,9276,0,3943
98,"E","v03",34,2835,11273,0,14836
99,"E","v03",86,5090,10992,0,29202
100,"E","v03",55,2945,10114,0,17281
1,"E","v10",68,3340,16303,0,131586
2,"E","v10",75,5955,23098,0,174140
3,"E","v10",140,8586,38019,0,212721
4,"E","v10",39,2792,9357,0,85893
5,"E","v10",99,3306,15103,0,144039
6,"E","v10",94,4377,22332,0,153946
7,"E","v10",31,1942,6959,0,68560
8,"E","v10",58,2700,12908,0,99082
9,"E","v10",71,3117,13328,0,151983
10,"E","v10",111,3354,15626,0,138668
11,"E","v10",60,2707,14475,0,83811
12,"E","v10",75,2830,18929,0,153092
13,"E","v10",114,4540,8627,0,97307
14,"E","v10",76,2580,10638,0,112131
15,"E","v10",65,3599,11707,0,118571
16,"E","v10",109,8815,41844,0,190221
17,"E","v10",110,6502,31454,0,209254
18,"E","v10",56,2476,11379,0,92543
19,"E","v10",84,2472,10739,0,143359
